,project,all,Strategy_1,Strategy_2,Strategy_3,Strategy_4,s1_prec,s2_prec,s3_prec,s4_prec
780,light-task-scheduler,143,113,136,101,128,0.79,0.95,0.71,0.9
781,RxJava-Android-Samples,139,47,66,22,29,0.34,0.47,0.16,0.21
782,super-csv,143,67,95,49,61,0.47,0.66,0.34,0.43
783,java-sdk,144,80,104,52,66,0.56,0.72,0.36,0.46
784,cassandra-unit,142,72,93,39,54,0.51,0.65,0.27,0.38
785,copycat,145,83,106,58,86,0.57,0.73,0.4,0.59
786,google-api-java-client,146,93,119,51,75,0.64,0.82,0.35,0.51
787,android-pulltorefresh,148,27,37,11,16,0.18,0.25,0.07,0.11
788,bdd-security,149,62,84,47,60,0.42,0.56,0.32,0.4
789,google-java-format,150,60,69,25,25,0.4,0.46,0.17,0.17
790,fixflow,143,98,108,44,54,0.69,0.76,0.31,0.38
791,java-gitlab-api,149,34,54,16,32,0.23,0.36,0.11,0.21
792,andlytics,149,64,80,35,49,0.43,0.54,0.23,0.33
793,jdeb,150,51,74,20,21,0.34,0.49,0.13,0.14
794,samza,151,128,147,93,123,0.85,0.97,0.62,0.81
795,spring-security-saml,152,114,133,61,83,0.75,0.88,0.4,0.55
796,spring-restdocs,148,100,118,77,91,0.68,0.8,0.52,0.61
797,OpenIAB,151,61,75,45,59,0.4,0.5,0.3,0.39
798,product-ei,153,74,96,36,45,0.48,0.63,0.24,0.29
799,nginx-clojure,155,68,85,53,66,0.44,0.55,0.34,0.43
800,react-native-mapbox-gl,156,33,40,17,25,0.21,0.26,0.11,0.16
801,governator,155,108,134,76,104,0.7,0.86,0.49,0.67
802,android-beacon-library,153,62,88,40,59,0.41,0.58,0.26,0.39
803,spring-cloud-consul,157,63,100,25,34,0.4,0.64,0.16,0.22
804,beetl2.0,155,119,137,86,113,0.77,0.88,0.55,0.73
805,restlet-framework-java,159,102,118,70,84,0.64,0.74,0.44,0.53
806,addressbook-level4,159,94,121,74,101,0.59,0.76,0.47,0.64
807,sqlite-jdbc,156,46,62,25,30,0.29,0.4,0.16,0.19
808,Travel-Mate,159,95,113,61,82,0.6,0.71,0.38,0.52
809,HotswapAgent,161,96,123,76,100,0.6,0.76,0.47,0.62
810,kafka-connect-jdbc,160,83,115,52,67,0.52,0.72,0.32,0.42
811,pippo,161,106,128,45,56,0.66,0.8,0.28,0.35
812,SeLion,162,101,124,74,100,0.62,0.77,0.46,0.62
813,600SeriesAndroidUploader,160,71,97,55,80,0.44,0.61,0.34,0.5
814,addressbook-level3,162,93,122,81,101,0.57,0.75,0.5,0.62
815,openmrs-contrib-android-client,163,110,139,89,101,0.67,0.85,0.55,0.62
816,jcommander,163,70,88,27,34,0.43,0.54,0.17,0.21
817,athenz,164,99,120,66,76,0.6,0.73,0.4,0.46
818,materialistic,166,96,119,40,50,0.58,0.72,0.24,0.3
819,TweetLanes,166,53,80,45,71,0.32,0.48,0.27,0.43
820,s3proxy,168,21,31,6,9,0.12,0.18,0.04,0.05
821,metacat,169,96,132,73,112,0.57,0.78,0.43,0.66
822,J2ME-Loader,169,68,85,49,69,0.4,0.5,0.29,0.41
823,react-native-iap,172,10,15,3,8,0.06,0.09,0.02,0.05
824,leshan,173,117,145,68,90,0.68,0.84,0.39,0.52
825,cucumber-reporting,173,80,100,64,67,0.46,0.58,0.37,0.39
826,unfolding,175,121,144,56,70,0.69,0.82,0.32,0.4
827,redis-manager,175,97,113,71,83,0.55,0.65,0.41,0.47
828,java-driver,176,145,162,109,133,0.82,0.92,0.62,0.76
829,tx-lcn,168,136,163,125,153,0.81,0.97,0.74,0.91
830,SecurityShepherd,176,106,118,72,84,0.6,0.67,0.41,0.48
831,subclipse,177,89,105,59,86,0.5,0.59,0.33,0.49
832,couchdb-lucene,177,66,85,37,44,0.37,0.48,0.21,0.25
833,programming,176,22,24,0,0,0.12,0.14,0.0,0.0
834,OpenRTS,174,122,128,109,107,0.7,0.74,0.63,0.61
835,spectator,179,107,135,67,74,0.6,0.75,0.37,0.41
836,storio,179,143,166,88,110,0.8,0.93,0.49,0.61
837,Solandra,179,46,64,27,41,0.26,0.36,0.15,0.23
838,keepassdroid,178,100,125,72,94,0.56,0.7,0.4,0.53
839,opennlp,180,97,126,94,111,0.54,0.7,0.52,0.62
840,jboss-eap-quickstarts,181,110,136,75,110,0.61,0.75,0.41,0.61
841,java-client-api,180,67,93,39,51,0.37,0.52,0.22,0.28
842,swagger2markup,176,69,89,55,68,0.39,0.51,0.31,0.39
843,logisim-evolution,182,114,131,82,84,0.63,0.72,0.45,0.46
844,picasso,183,73,91,31,34,0.4,0.5,0.17,0.19
845,moa,182,130,153,67,81,0.71,0.84,0.37,0.45
846,physical-web,183,50,62,19,30,0.27,0.34,0.1,0.16
847,Minim,183,65,94,48,64,0.36,0.51,0.26,0.35
848,photon,182,59,82,43,56,0.32,0.45,0.24,0.31
849,failsafe,185,95,131,59,82,0.51,0.71,0.32,0.44
850,JAdventure,184,76,94,35,49,0.41,0.51,0.19,0.27
851,htm.java,182,90,129,58,81,0.49,0.71,0.32,0.45
852,FreeBuilder,187,112,130,65,91,0.6,0.7,0.35,0.49
853,ExoMedia,184,64,92,42,45,0.35,0.5,0.23,0.24
854,disunity,187,94,137,59,77,0.5,0.73,0.32,0.41
855,docker-plugin,187,73,90,27,38,0.39,0.48,0.14,0.2
856,Medusa,187,49,65,21,30,0.26,0.35,0.11,0.16
857,micro-server,189,141,165,120,140,0.75,0.87,0.63,0.74
858,swagger-maven-plugin,189,75,94,54,67,0.4,0.5,0.29,0.35
859,PretendYoureXyzzy,190,60,86,36,56,0.32,0.45,0.19,0.29
860,BaseRecyclerViewAdapterHelper,191,50,69,35,43,0.26,0.36,0.18,0.23
861,sshj,192,93,129,36,46,0.48,0.67,0.19,0.24
862,bither-android,190,92,128,53,79,0.48,0.67,0.28,0.42
863,Telegram,193,93,134,86,122,0.48,0.69,0.45,0.63
864,graphicsfuzz,193,79,95,64,84,0.41,0.49,0.33,0.44
865,Telegram-FOSS,193,93,134,85,122,0.48,0.69,0.44,0.63
866,RxAndroidBle,190,76,120,63,82,0.4,0.63,0.33,0.43
867,spring-ldap,196,157,186,70,98,0.8,0.95,0.36,0.5
868,gpstest,196,42,53,31,35,0.21,0.27,0.16,0.18
869,BitcoinChecker,190,73,117,49,78,0.38,0.62,0.26,0.41
870,memcached-session-manager,199,87,111,63,90,0.44,0.56,0.32,0.45
871,JsonPath,196,118,150,90,116,0.6,0.77,0.46,0.59
872,RichTextFX,199,94,130,53,75,0.47,0.65,0.27,0.38
873,raml-for-jax-rs,199,134,161,113,144,0.67,0.81,0.57,0.72
874,light-admin,202,122,168,95,137,0.6,0.83,0.47,0.68
875,jetcache,202,135,166,76,93,0.67,0.82,0.38,0.46
876,crash,202,155,180,100,138,0.77,0.89,0.5,0.68
877,Grammar-Kit,203,96,120,48,63,0.47,0.59,0.24,0.31
878,macrobase,203,100,125,87,108,0.49,0.62,0.43,0.53
879,hera,201,95,137,60,91,0.47,0.68,0.3,0.45
880,influxdb-java,200,62,83,31,44,0.31,0.42,0.16,0.22
881,subversion-plugin,204,52,73,19,26,0.25,0.36,0.09,0.13
882,UltimateRecyclerView,203,74,99,53,71,0.36,0.49,0.26,0.35
883,spikes,203,80,98,30,52,0.39,0.48,0.15,0.26
884,ff4j,204,162,194,113,152,0.79,0.95,0.55,0.75
885,zotfile,206,0,0,0,0,0.0,0.0,0.0,0.0
886,ion,206,90,124,45,64,0.44,0.6,0.22,0.31
887,ChromeLikeTabSwitcher,206,43,58,11,15,0.21,0.28,0.05,0.07
888,openstack4j,204,161,187,108,130,0.79,0.92,0.53,0.64
889,artifactory-plugin,209,81,125,62,88,0.39,0.6,0.3,0.42
890,openmrs-module-webservices.rest,210,126,160,65,75,0.6,0.76,0.31,0.36
891,java-memcached-client,207,114,131,48,58,0.55,0.63,0.23,0.28
892,parboiled,210,136,188,125,150,0.65,0.9,0.6,0.71
893,open-event-organizer-android,211,144,182,108,125,0.68,0.86,0.51,0.59
894,jline2,212,58,86,26,41,0.27,0.41,0.12,0.19
895,gwt-bootstrap,211,129,165,66,107,0.61,0.78,0.31,0.51
896,waffle,211,124,143,97,109,0.59,0.68,0.46,0.52
897,springside4,213,157,173,105,119,0.74,0.81,0.49,0.56
898,disruptor,214,115,148,69,85,0.54,0.69,0.32,0.4
899,android-async-http,213,64,88,26,37,0.3,0.41,0.12,0.17
900,logbook,217,128,173,84,137,0.59,0.8,0.39,0.63
901,ActionBarSherlock,218,112,146,68,101,0.51,0.67,0.31,0.46
902,config,219,91,117,52,67,0.42,0.53,0.24,0.31
903,getdown,220,71,85,29,40,0.32,0.39,0.13,0.18
904,jzmq,221,33,49,25,39,0.15,0.22,0.11,0.18
905,roboguice,219,98,138,76,99,0.45,0.63,0.35,0.45
906,hollow,220,125,157,55,78,0.57,0.71,0.25,0.35
907,fest-assert-2.x,220,187,199,137,144,0.85,0.9,0.62,0.65
908,spring-social-facebook,220,159,185,83,109,0.72,0.84,0.38,0.5
909,jediterm,222,86,124,65,97,0.39,0.56,0.29,0.44
910,netty-socketio,224,89,115,48,57,0.4,0.51,0.21,0.25
911,Easer,223,150,186,110,143,0.67,0.83,0.49,0.64
912,pi4j,225,126,165,33,37,0.56,0.73,0.15,0.16
913,lcm,226,17,21,10,13,0.08,0.09,0.04,0.06
914,jmeter-maven-plugin,225,64,86,37,44,0.28,0.38,0.16,0.2
915,find-sec-bugs,227,150,179,94,133,0.66,0.79,0.41,0.59
916,mongo-hadoop,227,90,125,62,82,0.4,0.55,0.27,0.36
917,jackson-dataformat-xml,226,123,160,55,75,0.54,0.71,0.24,0.33
918,ice-demos,227,39,47,22,33,0.17,0.21,0.1,0.15
919,librec,231,76,108,57,71,0.33,0.47,0.25,0.31
920,spring-cloud-function,232,134,170,87,122,0.58,0.73,0.38,0.53
921,multi-model-server,233,30,40,20,26,0.13,0.17,0.09,0.11
922,Android-Orma,234,140,169,73,83,0.6,0.72,0.31,0.35
923,mapbox-android-demo,234,88,159,44,71,0.38,0.68,0.19,0.3
924,cruise-control,236,109,126,80,70,0.46,0.53,0.34,0.3
925,allure2,237,92,129,80,114,0.39,0.54,0.34,0.48
926,mamute,238,126,162,63,87,0.53,0.68,0.26,0.37
927,Hystrix,240,103,137,70,91,0.43,0.57,0.29,0.38
928,giraph,241,168,205,140,176,0.7,0.85,0.58,0.73
929,remote-desktop-clients,240,81,113,64,92,0.34,0.47,0.27,0.38
930,astyanax,241,158,195,123,140,0.66,0.81,0.51,0.58
931,javacpp,243,54,70,38,43,0.22,0.29,0.16,0.18
932,XChart,244,148,185,101,122,0.61,0.76,0.41,0.5
933,cucumber,241,60,75,31,37,0.25,0.31,0.13,0.15
934,maps,245,40,50,19,27,0.16,0.2,0.08,0.11
935,stripe-java,246,100,165,64,118,0.41,0.67,0.26,0.48
936,HoloEverywhere,246,150,176,110,145,0.61,0.72,0.45,0.59
937,RSyntaxTextArea,246,110,149,61,71,0.45,0.61,0.25,0.29
938,facebook-android-sdk,249,140,174,94,130,0.56,0.7,0.38,0.52
939,malmo,251,33,31,16,13,0.13,0.12,0.06,0.05
940,GCViewer,243,93,133,64,95,0.38,0.55,0.26,0.39
941,lucida,250,29,32,21,20,0.12,0.13,0.08,0.08
942,handlebars.java,253,163,218,91,129,0.64,0.86,0.36,0.51
943,stringtemplate4,256,96,146,62,83,0.38,0.57,0.24,0.32
944,RxNetty,255,177,209,161,183,0.69,0.82,0.63,0.72
945,ghprb-plugin,247,47,68,28,36,0.19,0.28,0.11,0.15
946,xmemcached,261,114,160,83,112,0.44,0.61,0.32,0.43
947,guacamole-client,261,59,74,24,29,0.23,0.28,0.09,0.11
948,KernelAdiutor,260,82,124,52,64,0.32,0.48,0.2,0.25
949,chat-sdk-android,262,163,210,125,170,0.62,0.8,0.48,0.65
950,Duke,262,123,172,83,118,0.47,0.66,0.32,0.45
951,EhViewer,264,167,205,112,155,0.63,0.78,0.42,0.59
952,goclipse,263,182,221,132,165,0.69,0.84,0.5,0.63
953,Jest,267,150,199,92,124,0.56,0.75,0.34,0.46
954,flume,268,165,202,101,116,0.62,0.75,0.38,0.43
955,android-testdpc,270,81,113,38,48,0.3,0.42,0.14,0.18
956,samourai-wallet-android,271,93,119,47,67,0.34,0.44,0.17,0.25
957,jbehave-core,269,178,210,90,111,0.66,0.78,0.33,0.41
958,pushy,270,94,138,52,70,0.35,0.51,0.19,0.26
959,boon,274,158,208,131,172,0.58,0.76,0.48,0.63
960,spring-data-solr,276,130,187,90,119,0.47,0.68,0.33,0.43
961,javassist,276,102,128,75,109,0.37,0.46,0.27,0.39
962,uhabits,314,189,236,161,211,0.6,0.75,0.51,0.67
963,spock,274,163,199,101,130,0.59,0.73,0.37,0.47
964,PageTurner,275,108,149,56,69,0.39,0.54,0.2,0.25
965,heroic,279,161,235,114,177,0.58,0.84,0.41,0.63
966,univocity-parsers,279,128,167,80,60,0.46,0.6,0.29,0.22
967,twilio-java,276,197,235,112,116,0.71,0.85,0.41,0.42
968,TrebleShot,283,132,153,98,84,0.47,0.54,0.35,0.3
969,interview,285,157,208,77,108,0.55,0.73,0.27,0.38
970,jsprit,283,137,217,99,166,0.48,0.77,0.35,0.59
971,focus-android,290,92,140,46,68,0.32,0.48,0.16,0.23
972,spring-cloud-commons,285,130,189,48,80,0.46,0.66,0.17,0.28
973,spring-hateoas,292,127,182,82,104,0.43,0.62,0.28,0.36
974,flinkx,290,128,171,74,122,0.44,0.59,0.26,0.42
975,streamex,290,74,100,32,24,0.26,0.34,0.11,0.08
976,testcontainers-java,293,148,200,87,130,0.51,0.68,0.3,0.44
977,connectbot,297,98,126,58,79,0.33,0.42,0.2,0.27
978,json-schema,295,117,158,81,100,0.4,0.54,0.27,0.34
979,msf4j,296,162,207,97,153,0.55,0.7,0.33,0.52
980,spring-kafka,299,146,200,73,102,0.49,0.67,0.24,0.34
981,HiBench,297,84,96,48,67,0.28,0.32,0.16,0.23
982,embulk,303,141,182,89,110,0.47,0.6,0.29,0.36
983,jbake,288,83,123,45,70,0.29,0.43,0.16,0.24
984,gravitee-gateway,306,174,232,119,170,0.57,0.76,0.39,0.56
985,jcodec,305,199,267,166,227,0.65,0.88,0.54,0.74
986,spring-social,305,190,234,119,136,0.62,0.77,0.39,0.45
987,pebble,307,134,201,118,166,0.44,0.65,0.38,0.54
988,CameraView,311,135,190,110,149,0.43,0.61,0.35,0.48
989,py4j,307,103,130,57,68,0.34,0.42,0.19,0.22
990,schema-registry,304,112,168,98,130,0.37,0.55,0.32,0.43
991,jedis,296,96,146,58,80,0.32,0.49,0.2,0.27
992,download-manager,303,138,187,52,83,0.46,0.62,0.17,0.27
993,AppiumTestDistribution,315,81,115,55,67,0.26,0.37,0.17,0.21
994,incubator-hudi,318,162,254,132,181,0.51,0.8,0.42,0.57
995,XposedInstaller,319,66,88,36,44,0.21,0.28,0.11,0.14
996,jBrowserDriver,320,93,105,79,83,0.29,0.33,0.25,0.26
997,spring-cloud-aws,319,224,271,125,168,0.7,0.85,0.39,0.53
998,rtmp-rtsp-stream-client-java,323,140,183,101,128,0.43,0.57,0.31,0.4
999,spring-data-rest,325,180,255,90,135,0.55,0.78,0.28,0.42
1000,PokeGOAPI-Java,319,115,173,83,117,0.36,0.54,0.26,0.37
1001,github-api,326,97,149,33,46,0.3,0.46,0.1,0.14
1002,Book-Catalogue,324,94,138,63,89,0.29,0.43,0.19,0.27
1003,RedReader,328,111,140,69,84,0.34,0.43,0.21,0.26
1004,BiglyBT,336,164,177,165,171,0.49,0.53,0.49,0.51
1005,parquet-mr,335,195,258,147,187,0.58,0.77,0.44,0.56
1006,jsoup,354,81,112,45,67,0.23,0.32,0.13,0.19
1007,cassandra-lucene-index,344,194,243,143,164,0.56,0.71,0.42,0.48
1008,AndroidAsync,360,140,187,97,126,0.39,0.52,0.27,0.35
1009,cyclops-integration,354,293,333,201,250,0.83,0.94,0.57,0.71
1010,opsu,394,102,134,89,115,0.26,0.34,0.23,0.29
1011,metrics,427,201,280,110,155,0.47,0.66,0.26,0.36
1012,amidst,473,260,329,162,222,0.55,0.7,0.34,0.47
1013,jsweet,479,244,312,133,179,0.51,0.65,0.28,0.37
1014,pgjdbc-ng,481,155,235,149,214,0.32,0.49,0.31,0.44
1015,qbit,490,313,402,206,277,0.64,0.82,0.42,0.57
1016,thingsboard,577,273,368,167,203,0.47,0.64,0.29,0.35
1017,blueflood,563,193,275,106,143,0.34,0.49,0.19,0.25
1018,androidannotations,564,322,434,215,324,0.57,0.77,0.38,0.57
1019,digdag,604,307,411,195,273,0.51,0.68,0.32,0.45
1020,openrouteservice,607,231,362,185,289,0.38,0.6,0.3,0.48
1021,nzbhydra2,647,276,367,214,311,0.43,0.57,0.33,0.48
1022,phpinspectionsea,667,267,420,46,67,0.4,0.63,0.07,0.1
1023,phoenicis,680,403,538,294,402,0.59,0.79,0.43,0.59
1024,guice,688,367,493,254,328,0.53,0.72,0.37,0.48
1025,chunky,713,174,261,97,140,0.24,0.37,0.14,0.2
1026,dropwizard,815,429,576,250,388,0.53,0.71,0.31,0.48
1027,Digital,824,414,540,217,280,0.5,0.66,0.26,0.34
1028,intellij-elixir,848,407,529,248,343,0.48,0.62,0.29,0.4
1029,nakadi,853,377,524,280,407,0.44,0.61,0.33,0.48
1030,Discord4J,891,306,406,190,259,0.34,0.46,0.21,0.29
1031,OpenRefine,893,338,466,251,343,0.38,0.52,0.28,0.38
1032,nokogiri,962,62,74,50,52,0.06,0.08,0.05,0.05
1033,rapidoid,964,499,717,256,384,0.52,0.74,0.27,0.4
1034,druid,1800,1002,1341,425,639,0.56,0.74,0.24,0.36
